SEMANA,TIENDA,PRENDA,UNIDADES
3,RIONEGRO,BUSOS,4
3,RIONEGRO,CAMIBUSOS,11
3,RIONEGRO,CAMISAS,55
3,RIONEGRO,CAMISETAS,33
3,RIONEGRO,CHAQUETAS,3
3,RIONEGRO,CORREAS,2
3,RIONEGRO,JEANS,245
3,RIONEGRO,JOGGER,23
3,RIONEGRO,PANTALON COLOR,104
3,RIONEGRO,POLOS,31
3,RIONEGRO,TAPABOCAS,12
3,RIONEGRO,VESTIDOS,4
3,RIONEGRO PARQUE,BLUSAS,9
3,RIONEGRO PARQUE,BUSOS,2
3,RIONEGRO PARQUE,CAMIBUSOS,1
3,RIONEGRO PARQUE,CAMISAS,11
3,RIONEGRO PARQUE,CAMISETAS,12
3,RIONEGRO PARQUE,CHAQUETAS,1
3,RIONEGRO PARQUE,CORREAS,2
3,RIONEGRO PARQUE,JEANS,58
3,RIONEGRO PARQUE,JOGGER,7
3,RIONEGRO PARQUE,PANTALON COLOR,17
3,RIONEGRO PARQUE,POLOS,4
3,TERMINAL DEL NORTE,BERMUDA,3
3,TERMINAL DEL NORTE,BLUSAS,33
3,TERMINAL DEL NORTE,BUSOS,4
3,TERMINAL DEL NORTE,CAMIBUSOS,5
3,TERMINAL DEL NORTE,CAMISAS,38
3,TERMINAL DEL NORTE,CAMISETAS,34
3,TERMINAL DEL NORTE,CHAQUETAS,1
3,TERMINAL DEL NORTE,CORREAS,2
3,TERMINAL DEL NORTE,JEANS,142
3,TERMINAL DEL NORTE,JOGGER,6
3,TERMINAL DEL NORTE,PANTALON COLOR,65
3,TERMINAL DEL NORTE,POLOS,29
3,TERMINAL DEL NORTE,TAPABOCAS,7
3,TERMINAL DEL NORTE,VESTIDOS,1
3,VIVA ENVIGADO,BERMUDA,1
3,VIVA ENVIGADO,BLUSAS,38
3,VIVA ENVIGADO,BUSOS,2
3,VIVA ENVIGADO,CAMIBUSOS,8
3,VIVA ENVIGADO,CAMISAS,33
3,VIVA ENVIGADO,CAMISETAS,24
3,VIVA ENVIGADO,CHAQUETAS,2
3,VIVA ENVIGADO,CORREAS,2
3,VIVA ENVIGADO,JEANS,170
3,VIVA ENVIGADO,JOGGER,13
3,VIVA ENVIGADO,PANTALON COLOR,89
3,VIVA ENVIGADO,POLOS,25
3,VIVA ENVIGADO,TAPABOCAS,10
3,VIVA ENVIGADO,VESTIDOS,2
4,ARKADIA,BLUSAS,22
4,ARKADIA,BUSOS,4
4,ARKADIA,CAMIBUSOS,2
4,ARKADIA,CAMISAS,27
4,ARKADIA,CAMISETAS,19
4,ARKADIA,CHAQUETAS,1
4,ARKADIA,JEANS,92
4,ARKADIA,JOGGER,24
4,ARKADIA,PANTALON COLOR,53
4,ARKADIA,POLOS,15
4,ARKADIA,TAPABOCAS,7
4,COMPRETEX ECOMMERCE,BERMUDA,1
4,COMPRETEX ECOMMERCE,BLUSAS,17
4,COMPRETEX ECOMMERCE,BUSOS,1
4,COMPRETEX ECOMMERCE,CAMIBUSOS,8
4,COMPRETEX ECOMMERCE,CAMISAS,23
4,COMPRETEX ECOMMERCE,CAMISETAS,21
4,COMPRETEX ECOMMERCE,CHAQUETAS,1
4,COMPRETEX ECOMMERCE,CORREAS,3
4,COMPRETEX ECOMMERCE,JEANS,141
4,COMPRETEX ECOMMERCE,JOGGER,24
4,COMPRETEX ECOMMERCE,PANTALON COLOR,25
4,COMPRETEX ECOMMERCE,POLOS,10
4,COMPRETEX ECOMMERCE,TAPABOCAS,2
4,COMPRETEX ECOMMERCE,VESTIDOS,4
4,GUAYABAL,BERMUDA,1
4,GUAYABAL,BLUSAS,26
4,GUAYABAL,BUSOS,6
4,GUAYABAL,CAMIBUSOS,6
4,GUAYABAL,CAMISAS,33
4,GUAYABAL,CAMISETAS,24
4,GUAYABAL,CORREAS,2
4,GUAYABAL,JEANS,131
4,GUAYABAL,JOGGER,10
4,GUAYABAL,PANTALON COLOR,68
4,GUAYABAL,POLOS,22
4,GUAYABAL,VESTIDOS,1
4,LA CENTRAL,BERMUDA,1
4,LA CENTRAL,BLUSAS,19
4,LA CENTRAL,BUSOS,4
4,LA CENTRAL,CAMIBUSOS,4
4,LA CENTRAL,CAMISAS,19
4,LA CENTRAL,CAMISETAS,17
4,LA CENTRAL,CHAQUETAS,2
4,LA CENTRAL,CORREAS,3
4,LA CENTRAL,JEANS,83
4,LA CENTRAL,JOGGER,8
4,LA CENTRAL,PANTALON COLOR,46
4,LA CENTRAL,POLOS,10
4,LA CENTRAL,TAPABOCAS,1
4,LA CENTRAL,VESTIDOS,2
4,MARINILLA,BERMUDA,2
4,MARINILLA,BLUSAS,13
4,MARINILLA,BUSOS,4
4,MARINILLA,CAMIBUSOS,2
4,MARINILLA,CAMISAS,13
4,MARINILLA,CAMISETAS,13
4,MARINILLA,CHAQUETAS,1
4,MARINILLA,CORREAS,3
4,MARINILLA,JEANS,57
4,MARINILLA,JOGGER,5
4,MARINILLA,PANTALON COLOR,17
4,MARINILLA,POLOS,12
4,MARINILLA,TAPABOCAS,4
4,MARINILLA,VESTIDOS,1
4,MAYORCA 1,BLUSAS,32
4,MAYORCA 1,BUSOS,4
4,MAYORCA 1,CAMIBUSOS,7
4,MAYORCA 1,CAMISAS,28
4,MAYORCA 1,CAMISETAS,18
4,MAYORCA 1,CHAQUETAS,3
4,MAYORCA 1,CORREAS,4
4,MAYORCA 1,JEANS,133
4,MAYORCA 1,JOGGER,20
4,MAYORCA 1,PANTALON COLOR,67
4,MAYORCA 1,POLOS,13
4,MAYORCA 1,TAPABOCAS,7
4,MAYORCA 1,VESTIDOS,2
4,MAYORCA 2,BERMUDA,1
4,MAYORCA 2,BLUSAS,37
4,MAYORCA 2,BUSOS,5
4,MAYORCA 2,CAMIBUSOS,8
4,MAYORCA 2,CAMISAS,31
4,MAYORCA 2,CAMISETAS,37
4,MAYORCA 2,CHAQUETAS,2
4,MAYORCA 2,CORREAS,2
4,MAYORCA 2,JEANS,158
4,MAYORCA 2,JOGGER,20
4,MAYORCA 2,PANTALON COLOR,83
4,MAYORCA 2,POLOS,23
